UpperName	miRGate.name	Accession	Name
HSA-MIR-766-5P	hsa-mir-766-5p	MIMAT0022714	hsa-miR-766-5p
HSA-MIR-363-5P	hsa-mir-363-5p	MIMAT0003385	hsa-miR-363-5p
HSA-MIR-92A-2-5P	hsa-mir-92a-2-5p	MIMAT0004508	hsa-miR-92a-2-5p
HSA-MIR-19B-3P	hsa-mir-19b-3p	MIMAT0000074	hsa-miR-19b-3p
HSA-MIR-20B-5P	hsa-mir-20b-5p	MIMAT0001413	hsa-miR-20b-5p
HSA-MIR-106A-5P	hsa-mir-106a-5p	MIMAT0000103	hsa-miR-106a-5p
HSA-MIR-450B-3P	hsa-mir-450b-3p	MIMAT0004910	hsa-miR-450b-3p
HSA-MIR-450A-1-3P	hsa-mir-450a-1-3p	MIMAT0022700	hsa-miR-450a-1-3p
HSA-MIR-450A-2-3P	hsa-mir-450a-2-3p	MIMAT0031074	hsa-miR-450a-2-3p
HSA-MIR-503-5P	hsa-mir-503-5p	MIMAT0002874	hsa-miR-503-5p
HSA-MIR-503-3P	hsa-mir-503-3p	MIMAT0022925	hsa-miR-503-3p
HSA-MIR-424-5P	hsa-mir-424-5p	MIMAT0001341	hsa-miR-424-5p
HSA-MIR-504-5P	hsa-mir-504-5p	MIMAT0002875	hsa-miR-504-5p
HSA-MIR-505-3P	hsa-mir-505-3p	MIMAT0002876	hsa-miR-505-3p
HSA-MIR-513C-3P	hsa-mir-513c-3p	MIMAT0022728	hsa-miR-513c-3p
HSA-MIR-506-5P	hsa-mir-506-5p	MIMAT0022701	hsa-miR-506-5p
HSA-MIR-508-5P	hsa-mir-508-5p	MIMAT0004778	hsa-miR-508-5p
HSA-MIR-508-3P	hsa-mir-508-3p	MIMAT0002880	hsa-miR-508-3p
HSA-MIR-514B-5P	hsa-mir-514b-5p	MIMAT0015087	hsa-miR-514b-5p
HSA-MIR-509-5P	hsa-mir-509-5p	MIMAT0004779	hsa-miR-509-5p
HSA-MIR-509-5P	hsa-mir-509-5p	MIMAT0004779	hsa-miR-509-5p
HSA-MIR-510-5P	hsa-mir-510-5p	MIMAT0002882	hsa-miR-510-5p
HSA-MIR-514A-5P	hsa-mir-514a-5p	MIMAT0022702	hsa-miR-514a-5p
HSA-MIR-514A-5P	hsa-mir-514a-5p	MIMAT0022702	hsa-miR-514a-5p
HSA-MIR-514A-5P	hsa-mir-514a-5p	MIMAT0022702	hsa-miR-514a-5p
HSA-MIR-105-5P	hsa-mir-105-5p	MIMAT0000102	hsa-miR-105-5p
HSA-MIR-767-3P	hsa-mir-767-3p	MIMAT0003883	hsa-miR-767-3p
HSA-MIR-105-5P	hsa-mir-105-5p	MIMAT0000102	hsa-miR-105-5p
