UpperName	miRGate.name	Accession	Name
HSA-MIR-3146	hsa-mir-3146	MIMAT0015018	hsa-miR-3146
HSA-MIR-3147	hsa-mir-3147	MIMAT0015019	hsa-miR-3147
HSA-MIR-3148	hsa-mir-3148	MIMAT0015021	hsa-miR-3148
HSA-MIR-3150A-3P	hsa-mir-3150a-3p	MIMAT0015023	hsa-miR-3150a-3p
HSA-MIR-3151-5P	hsa-mir-3151-5p	MIMAT0015024	hsa-miR-3151-5p
HSA-MIR-3152-5P	hsa-mir-3152-5p	MIMAT0019207	hsa-miR-3152-5p
HSA-MIR-3153	hsa-mir-3153	MIMAT0015026	hsa-miR-3153
HSA-MIR-3154	hsa-mir-3154	MIMAT0015028	hsa-miR-3154
HSA-MIR-3155A	hsa-mir-3155a	MIMAT0015029	hsa-miR-3155a
HSA-MIR-3155B	hsa-mir-3155b	MIMAT0019012	hsa-miR-3155b
HSA-MIR-3157-3P	hsa-mir-3157-3p	MIMAT0019210	hsa-miR-3157-3p
HSA-MIR-3158-5P	hsa-mir-3158-5p	MIMAT0019211	hsa-miR-3158-5p
HSA-MIR-31-5P	hsa-mir-31-5p	MIMAT0000089	hsa-miR-31-5p
HSA-MIR-3162-5P	hsa-mir-3162-5p	MIMAT0015036	hsa-miR-3162-5p
HSA-MIR-3163	hsa-mir-3163	MIMAT0015037	hsa-miR-3163
HSA-MIR-3164	hsa-mir-3164	MIMAT0015038	hsa-miR-3164
HSA-MIR-3165	hsa-mir-3165	MIMAT0015039	hsa-miR-3165
HSA-MIR-3170	hsa-mir-3170	MIMAT0015045	hsa-miR-3170
HSA-MIR-3173-3P	hsa-mir-3173-3p	MIMAT0015048	hsa-miR-3173-3p
HSA-MIR-3173-5P	hsa-mir-3173-5p	MIMAT0019214	hsa-miR-3173-5p
HSA-MIR-3175	hsa-mir-3175	MIMAT0015052	hsa-miR-3175
HSA-MIR-3178	hsa-mir-3178	MIMAT0015055	hsa-miR-3178
HSA-MIR-3179	hsa-mir-3179	MIMAT0015056	hsa-miR-3179
HSA-MIR-3180	hsa-mir-3180	MIMAT0018178	hsa-miR-3180
HSA-MIR-3180-3P	hsa-mir-3180-3p	MIMAT0015058	hsa-miR-3180-3p
HSA-MIR-3181	hsa-mir-3181	MIMAT0015061	hsa-miR-3181
HSA-MIR-3183	hsa-mir-3183	MIMAT0015063	hsa-miR-3183
HSA-MIR-3184-5P	hsa-mir-3184-5p	MIMAT0015064	hsa-miR-3184-5p
HSA-MIR-3185	hsa-mir-3185	MIMAT0015065	hsa-miR-3185
HSA-MIR-3186-5P	hsa-mir-3186-5p	MIMAT0015067	hsa-miR-3186-5p
HSA-MIR-3187-5P	hsa-mir-3187-5p	MIMAT0019216	hsa-miR-3187-5p
HSA-MIR-3189-3P	hsa-mir-3189-3p	MIMAT0015071	hsa-miR-3189-3p
HSA-MIR-3189-5P	hsa-mir-3189-5p	MIMAT0019217	hsa-miR-3189-5p
HSA-MIR-3190-3P	hsa-mir-3190-3p	MIMAT0015074	hsa-miR-3190-3p
HSA-MIR-3190-3P	hsa-mir-3190-3p	MIMAT0022839	hsa-miR-3190-3p
HSA-MIR-3190-5P	hsa-mir-3190-5p	MIMAT0015073	hsa-miR-3190-5p
HSA-MIR-3191-3P	hsa-mir-3191-3p	MIMAT0015075	hsa-miR-3191-3p
HSA-MIR-3191-5P	hsa-mir-3191-5p	MIMAT0022732	hsa-miR-3191-5p
HSA-MIR-3192-5P	hsa-mir-3192-5p	MIMAT0015076	hsa-miR-3192-5p
HSA-MIR-3194-5P	hsa-mir-3194-5p	MIMAT0015078	hsa-miR-3194-5p
HSA-MIR-3195	hsa-mir-3195	MIMAT0015079	hsa-miR-3195
HSA-MIR-3196	hsa-mir-3196	MIMAT0015080	hsa-miR-3196
HSA-MIR-3197	hsa-mir-3197	MIMAT0015082	hsa-miR-3197
HSA-MIR-3202	hsa-mir-3202	MIMAT0015089	hsa-miR-3202
HSA-MIR-320A	hsa-mir-320a	MIMAT0000510	hsa-miR-320a
HSA-MIR-320B	hsa-mir-320b	MIMAT0005792	hsa-miR-320b
HSA-MIR-320C	hsa-mir-320c	MIMAT0005793	hsa-miR-320c
HSA-MIR-320D	hsa-mir-320d	MIMAT0006764	hsa-miR-320d
HSA-MIR-323A-5P	hsa-mir-323a-5p	MIMAT0004696	hsa-miR-323a-5p
HSA-MIR-323B-3P	hsa-mir-323b-3p	MIMAT0015050	hsa-miR-323b-3p
HSA-MIR-323B-5P	hsa-mir-323b-5p	MIMAT0001630	hsa-miR-323b-5p
HSA-MIR-324-3P	hsa-mir-324-3p	MIMAT0000762	hsa-miR-324-3p
HSA-MIR-326	hsa-mir-326	MIMAT0000756	hsa-miR-326
